"ga:nextPagePath";"ga:landingPagePath";"ga:pageviews";"ga:timeOnPage";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=20&type=www&ID=60903&lang=ru&WF=Y&find_section_section=217&return_url=iblock_section_admin.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=217&form_element_20_active_tab=edit1&bitrix_include_areas=N";"http://sstu.ru/";"1";"107.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=20&type=www&ID=62384&lang=ru&find_section_section=102&WF=Y&bitrix_include_areas=N";"http://sstu.ru/";"1";"1695.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=20&type=www&ID=64723&lang=ru&find_section_section=208&WF=Y&bitrix_include_areas=N";"http://sstu.ru/";"1";"7.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=112&bitrix_include_areas=N";"http://sstu.ru/";"1";"4.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=212&bitrix_include_areas=N";"http://sstu.ru/";"2";"14.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=23&type=www&ID=60614&lang=ru&find_section_section=98&form_element_23_active_tab=edit1";"http://sstu.ru/";"5";"1864.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=24&type=www&ID=0&lang=ru&IBLOCK_SECTION_ID=0&find_section_section=0&from=iblock_list_admin";"http://sstu.ru/";"1";"12.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=26&type=www&ID=31841&lang=ru&find_section_section=0&WF=Y&bitrix_include_areas=N";"http://sstu.ru/";"1";"409.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=34&type=www&ID=63322&lang=ru&WF=Y&find_section_section=0&bitrix_include_areas=N";"http://sstu.ru/";"1";"259.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=35&type=www&ID=54718&lang=ru";"http://sstu.ru/";"4";"243.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=45&type=virtual_museum&ID=62174&lang=ru&find_section_section=366&WF=Y&bitrix_include_areas=N";"http://sstu.ru/";"1";"13.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=9&type=en&ID=60207&lang=ru&find_section_section=0&WF=Y";"http://sstu.ru/";"1";"327.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_list_admin.php?IBLOCK_ID=23&type=www&lang=ru&find_section_section=98";"http://sstu.ru/";"9";"661.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_list_admin.php?IBLOCK_ID=23&type=www&lang=ru&find_section_section=98&clear_cache=Y";"http://sstu.ru/";"5";"89.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_list_admin.php?IBLOCK_ID=26&type=www&lang=ru&find_section_section=0";"http://sstu.ru/";"1";"21.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_list_admin.php?IBLOCK_ID=26&type=www&lang=ru&find_section_section=0&bitrix_include_areas=N";"http://sstu.ru/";"1";"7.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_list_admin.php?IBLOCK_ID=29&type=www&lang=ru&find_section_section=-1";"http://sstu.ru/";"2";"235.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_list_admin.php?IBLOCK_ID=29&type=www&lang=ru&find_section_section=-1&clear_cache=Y";"http://sstu.ru/";"1";"14.0";
